Id,Day,Grade,Mark
3369953884,"2024,09, 04",0,10
202776227,"2024,09, 04",0,10
175092109,"2024,09, 04",0,10
2429167021,"2024,09, 04",0,10
2844338228,"2024,09, 04",0,10
310182622,"2024,09, 04",0,10
1290599807,"2024,09, 04",0,10
4071545488,"2024,09, 04",0,10
3573938318,"2024,09, 04",0,10
424503039,"2024,09, 04",0,10
3445720086,"2024,09, 04",0,10
2561959059,"2024,09, 04",0,10
110393642,"2024,09, 04",0,10
4098468708,"2024,09, 04",0,10
3912221170,"2024,09, 04",0,10
1356400325,"2024,09, 04",0,10
198167111,"2024,09, 04",0,10
3198867335,"2024,09, 04",0,10
2731538947,"2024,09, 04",0,10
295512781,"2024,09, 04",0,10
3025762977,"2024,09, 04",0,10
2288731793,"2024,09, 04",0,10
29430242,"2024,09, 04",0,10
2076932385,"2024,09, 04",0,10
1516345592,"2024,09, 04",0,10
2434564276,"2024,09, 04",0,10
3523433176,"2024,09, 04",0,10
2824540189,"2024,09, 04",0,10
3153285265,"2024,09, 04",0,10
1334853380,"2024,09, 04",0,10
